GHM;LIBELLE;TARIF PUBLIC;TARIF PRIVE
01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;4 161,50;1 779,30 €
01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;7 389,29;3 387,50 €
01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;13 333,79;8 396,30 €
01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;18 069,12;12 070,60 €
01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;14 420,44;2 862,60 €
01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;6 525,53;10 530,10 €
01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;18 776,47;5 192,10 €
01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;10 881,56;12 859,60 €
01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;15 711,33;7 324,50 €
01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;23 606,23;14 992,00 €
01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;28 469,33;11 923,10 €
01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;20 574,45;19 590,60 €
01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;5 579,41;2 491,90 €
01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;8 711,88;3 339,60 €
01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;13 959,15;6 365,30 €
01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;17 949,82;10 458,40 €
01C061;Interventions sur le système vasculaire précérébral, niveau 1;5 706,94;2 936,40 €
01C062;Interventions sur le système vasculaire précérébral, niveau 2;7 800,83;3 781,40 €
01C063;Interventions sur le système vasculaire précérébral, niveau 3;11 439,09;7 159,80 €
01C064;Interventions sur le système vasculaire précérébral, niveau 4;16 273,11;13 153,40 €
01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;2 846,76;958,10 €
01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;5 712,78;2 466,30 €
01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;10 708,02;5 238,00 €
01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;17 906,19;8 160,20 €
01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;2 846,76;958,10 €
01C091;Pose d'un stimulateur cérébral, niveau 1;8 120,07;6 162,30 €
01C092;Pose d'un stimulateur cérébral, niveau 2;13 788,52;10 042,60 €
01C093;Pose d'un stimulateur cérébral, niveau 3;21 206,34;16 212,70 €
01C094;Pose d'un stimulateur cérébral, niveau 4;26 960,68;25 136,10 €
01C101;Pose d'un stimulateur médullaire, niveau 1;2 320,33;946,20 €
01C102;Pose d'un stimulateur médullaire, niveau 2;4 925,42;2 400,10 €
01C103;Pose d'un stimulateur médullaire, niveau 3;10 082,20;4 623,40 €
01C104;Pose d'un stimulateur médullaire, niveau 4;12 818,03;7 202,60 €
01C10J;Pose d'un stimulateur médullaire, en ambulatoire;2 320,33;946,20 €
01C111;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1;8 483,99;2 503,30 €
01C112;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2;11 569,95;3 674,20 €
01C113;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3;14 228,19;5 696,50 €
01C114;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4;16 643,61;7 840,20 €
01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;5 953,79;10 739,00 €
01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;14 054,30;2 866,50 €
01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;9 577,24;12 952,80 €
01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;17 677,73;5 080,30 €
01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;11 005,89;16 150,20 €
01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;19 106,41;8 277,70 €
01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;15 308,96;20 706,20 €
01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;23 409,47;12 833,70 €
01C141;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1;1 518,14;671,20 €
01C142;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2;3 551,33;1 826,80 €
01C143;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3;4 438,25;2 851,70 €
01C144;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4;5 231,17;4 933,60 €
01C14J;Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire;1 518,14;671,20 €
01C151;Libérations du médian au canal carpien, niveau 1;1 129,29;455,20 €
01C152;Libérations du médian au canal carpien, niveau 2;3 044,44;1 701,70 €
01C153;Libérations du médian au canal carpien, niveau 3;4 120,35;2 558,80 €
01C154;Libérations du médian au canal carpien, niveau 4;8 849,51;4 537,90 €
01C15J;Libérations du médian au canal carpien, en ambulatoire;1 129,29;455,20 €
01K021;Autres embolisations intracrâniennes et médullaires, niveau 1;8 518,17;2 244,90 €
01K022;Autres embolisations intracrâniennes et médullaires, niveau 2;9 704,01;4 743,40 €
01K023;Autres embolisations intracrâniennes et médullaires, niveau 3;11 919,48;8 552,50 €
01K024;Autres embolisations intracrâniennes et médullaires, niveau 4;19 030,85;9 859,40 €
01K031;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1;5 408,46;1 215,10 €
01K032;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 2;10 213,23;3 825,90 €
01K033;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 3;13 520,69;5 769,30 €
01K034;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 4;21 509,31;14 260,10 €
01K04J;Injections de toxine botulique, en ambulatoire;440,07;350,40 €
01K05J;Séjours pour douleurs chroniques irréductibles comprenant un bloc ou une infiltration, en ambulatoire;303,44;476,90 €
01K06J;Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire;1 100,98;645,90 €
01K071;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1;10 920,66;2 121,30 €
01K072;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 2;11 405,01;3 204,20 €
01K073;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 3;17 662,98;4 969,40 €
01K074;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 4;27 765,54;5 728,70 €
01M041;Méningites virales, niveau 1;2 036,85;735,10 €
01M042;Méningites virales, niveau 2;4 015,03;2 561,30 €
01M043;Méningites virales, niveau 3;7 533,76;4 225,90 €
01M044;Méningites virales, niveau 4;12 204,95;5 428,40 €
01M04T;Méningites virales, très courte durée;448,3;219,80 €
01M04T;Méningites virales, très courte durée;804,14;128,90 €
01M051;Infections du système nerveux à l'exception des méningites virales, niveau 1;3 137,51;1 137,30 €
01M052;Infections du système nerveux à l'exception des méningites virales, niveau 2;6 605,66;2 375,90 €
01M053;Infections du système nerveux à l'exception des méningites virales, niveau 3;9 476,91;3 766,50 €
01M054;Infections du système nerveux à l'exception des méningites virales, niveau 4;15 820,21;6 776,50 €
01M05T;Infections du système nerveux à l'exception des méningites virales, très courte durée;1 002,07;248,10 €
01M05T;Infections du système nerveux à l'exception des méningites virales, très courte durée;518,03;128,90 €
01M071;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 1;1 802,55;1 273,30 €
01M072;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 2;4 787,14;2 327,10 €
01M073;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 3;6 082,23;2 622,30 €
01M074;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 4;8 099,92;4 407,00 €
01M07T;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée;391,82;130,20 €
01M07T;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée;779,52;130,20 €
01M081;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 1;1 748,79;951,10 €
01M082;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 2;4 650,43;2 404,10 €
01M083;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 3;7 039,74;2 984,40 €
01M084;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 4;11 237,82;5 251,90 €
01M08T;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée;391,82;128,90 €
01M08T;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée;713,75;214,60 €
01M091;Affections et lésions du rachis et de la moelle, niveau 1;1 895,12;739,00 €
